Date,Time,RSSI(dB),SWR,VSpd(m/s),Alt(m),A2(V),RxBt(V),Rud,Ele,Thr,Ail,S1,6P,S2,L1,L2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2018-12-17,08:48:03.610,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:03.810,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:04.010,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:04.220,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:04.420,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:04.620,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:04.830,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:05.030,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:05.230,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:05.440,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:05.640,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:05.840,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:06.040,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:06.240,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:06.440,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:06.650,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:06.850,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:07.060,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:07.260,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:07.460,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:07.670,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:07.880,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:08.080,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:08.280,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:08.510,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:08.710,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:08.910,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:09.110,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:09.310,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:09.520,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:09.760,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:09.970,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:10.180,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:10.380,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:10.580,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:10.780,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:10.990,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:11.190,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:11.390,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:11.590,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:11.790,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:12.000,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:12.200,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:12.400,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:12.600,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:12.800,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:13.000,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:13.200,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:13.410,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:13.610,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:13.810,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:14.010,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:14.220,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:14.460,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
2018-12-17,08:48:14.660,0,0,0.0,0.0,0.0,0.0,0,0,-1024,0,-86,-1024,30,0,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0x0000000000000001,10.6
